Eisen;|Fund|;FE;1
Bronze;|Fund|;BR;1
Blei;|Fund|;Pb;1
Kupfer;|Fund|;Cu;1
Silber;|Fund|;S;1
Gold;|Fund|;GD;1
Stein ;|Fund|;ST;1
Keramik;|Fund|;KE;1
Glas;|Fund|;GL;1
Perlen;|Fund|;PE;1
Lehm;|Befund|Fund|;LE;1
Lehm gebrannt;|Fund|;LEG;1
Ziegel;|Befund|Fund|;ZIG;1
Knochen;|Fund|;KNO;1
Leichenbrand;|Fund|;LB;1
Mörtel;|Befund|Fund|;MOE;1
Kalk;|Befund|Fund|;KAK;1
Putz;|Befund|Fund|;PU;1
Holz;|Befund|Fund|;HZ;1
Holzkohle;|Fund|;HK;1
Obsidian;|Befund|Fund|;OBS;1
Ton;|Fund|;TON;1
Ton gebrannt;|Fund|;TONG;1
Sonstiges;|Fund|;SON;1
